      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
  13500000  4.235142e+02  3.244417e-06  1.793835e+02  3.628113e-01  2.744784e+00  2.05e-01  9.95e-05  8.90e-01  0.00000e+00  2.00000e+00
  13600000  4.238274e+02  3.131854e-06  1.896516e+02  3.637064e-01  2.662876e+00  2.10e-01  9.94e-05  8.90e-01  0.00000e+00  2.00000e+00
  13700000  4.241297e+02  3.022394e-06  2.007440e+02  3.646235e-01  2.581750e+00  2.15e-01  9.92e-05  8.90e-01  0.00000e+00  2.00000e+00
  13800000  4.244213e+02  2.915860e-06  2.127528e+02  3.655640e-01  2.501377e+00  2.20e-01  9.93e-05  8.90e-01  0.00000e+00  2.00000e+00
  13900000  4.247025e+02  2.812393e-06  2.257852e+02  3.665296e-01  2.421717e+00  2.26e-01  9.94e-05  8.90e-01  0.00000e+00  2.00000e+00
  14000000  4.249737e+02  2.711757e-06  2.399642e+02  3.675224e-01  2.342735e+00  2.32e-01  9.95e-05  8.90e-01  0.00000e+00  2.00000e+00
  14100000  4.252351e+02  2.613997e-06  2.554337e+02  3.685444e-01  2.264390e+00  2.38e-01  9.98e-05  8.90e-01  0.00000e+00  2.00000e+00
  14200000  4.254870e+02  2.519124e-06  2.723628e+02  3.695983e-01  2.186635e+00  2.45e-01  9.99e-05  8.90e-01  0.00000e+00  2.00000e+00
  14300000  4.257297e+02  2.426985e-06  2.909502e+02  3.706868e-01  2.109423e+00  2.53e-01  1.00e-04  8.90e-01  0.00000e+00  2.00000e+00
  14400000  4.259634e+02  2.337669e-06  3.114332e+02  3.718131e-01  2.032699e+00  2.61e-01  1.01e-04  8.90e-01  0.00000e+00  2.00000e+00
  14500000  4.261886e+02  2.251089e-06  3.340956e+02  3.729812e-01  1.956401e+00  2.70e-01  1.01e-04  8.89e-01  0.00000e+00  2.00000e+00
  14600000  4.264053e+02  2.167230e-06  3.592813e+02  3.741954e-01  1.880461e+00  2.80e-01  1.01e-04  8.89e-01  0.00000e+00  2.00000e+00
  14700000  4.266139e+02  2.086102e-06  3.874103e+02  3.754608e-01  1.804803e+00  2.92e-01  1.02e-04  8.89e-01  0.00000e+00  2.00000e+00
  14800000  4.268147e+02  2.007679e-06  4.190019e+02  3.767837e-01  1.729339e+00  3.04e-01  1.03e-04  8.89e-01  0.00000e+00  2.00000e+00
  14900000  4.270078e+02  1.931965e-06  4.547055e+02  3.781713e-01  1.653966e+00  3.18e-01  1.04e-04  8.89e-01  0.00000e+00  2.00000e+00
  15000000  4.271938e+02  1.859009e-06  4.953457e+02  3.796326e-01  1.578565e+00  3.34e-01  1.04e-04  8.89e-01  0.00000e+00  2.00000e+00
  15100000  4.273726e+02  1.788819e-06  5.419851e+02  3.811785e-01  1.502997e+00  3.52e-01  1.05e-04  8.89e-01  0.00000e+00  2.00000e+00
  15200000  4.275448e+02  1.721449e-06  5.960183e+02  3.828228e-01  1.427094e+00  3.74e-01  1.06e-04  8.89e-01  0.00000e+00  2.00000e+00
  15300000  4.277105e+02  1.657029e-06  6.593165e+02  3.845826e-01  1.350652e+00  3.98e-01  1.07e-04  8.89e-01  0.00000e+00  2.00000e+00
  15400000  4.278700e+02  1.595665e-06  7.344490e+02  3.864805e-01  1.273420e+00  4.28e-01  1.08e-04  8.88e-01  0.00000e+00  2.00000e+00
  15500000  4.280238e+02  1.537584e-06  8.250515e+02  3.885463e-01  1.195080e+00  4.64e-01  1.09e-04  8.88e-01  0.00000e+00  2.00000e+00
  15600000  4.281721e+02  1.483051e-06  9.364448e+02  3.908204e-01  1.115223e+00  5.08e-01  1.10e-04  8.88e-01  0.00000e+00  2.00000e+00
  15700000  4.283154e+02  1.432544e-06  1.076761e+03  3.933601e-01  1.033309e+00  5.64e-01  1.12e-04  8.88e-01  0.00000e+00  2.00000e+00
  15800000  4.284540e+02  1.386739e-06  1.259104e+03  3.962502e-01  9.485931e-01  6.37e-01  1.14e-04  8.88e-01  0.00000e+00  2.00000e+00
  15897889  4.285859e+02  1.347296e-06  1.500002e+03  3.995456e-01  8.619218e-01  7.36e-01  1.15e-04  8.87e-01  0.00000e+00  2.00000e+00
