      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
   1993795  8.525878e+01  2.918623e-02  3.537011e+01  1.704676e+00  3.079247e-01  1.548126e+02  4.394512e-02  1.832944e-01  6.274629e-05
   2007574  8.603965e+01  2.945354e-02  3.501638e+01  1.687628e+00  3.079327e-01  1.548166e+02  4.402565e-02  1.845554e-01  6.317798e-05
   2021352  8.682555e+01  2.972257e-02  3.466620e+01  1.670750e+00  3.079408e-01  1.548206e+02  4.410635e-02  1.858253e-01  6.361267e-05
   2035129  8.761656e+01  2.999336e-02  3.431951e+01  1.654042e+00  3.079488e-01  1.548247e+02  4.418722e-02  1.871039e-01  6.405038e-05
   2048904  8.841271e+01  3.026590e-02  3.397631e+01  1.637501e+00  3.079570e-01  1.548288e+02  4.426825e-02  1.883914e-01  6.449111e-05
   2062678  8.921413e+01  3.054024e-02  3.363654e+01  1.621125e+00  3.079652e-01  1.548329e+02  4.434947e-02  1.896879e-01  6.493493e-05
   2076451  9.002091e+01  3.081643e-02  3.330015e+01  1.604913e+00  3.079734e-01  1.548370e+02  4.443086e-02  1.909934e-01  6.538186e-05
   2090222  9.083308e+01  3.109445e-02  3.296714e+01  1.588863e+00  3.079817e-01  1.548412e+02  4.451244e-02  1.923081e-01  6.583190e-05
   2103991  9.165074e+01  3.137436e-02  3.263747e+01  1.572975e+00  3.079900e-01  1.548454e+02  4.459419e-02  1.936319e-01  6.628507e-05
   2117759  9.247402e+01  3.165619e-02  3.231107e+01  1.557244e+00  3.079984e-01  1.548496e+02  4.467614e-02  1.949650e-01  6.674144e-05
   2131525  9.330296e+01  3.193995e-02  3.198795e+01  1.541671e+00  3.080068e-01  1.548538e+02  4.475828e-02  1.963075e-01  6.720101e-05
   2145289  9.413765e+01  3.222569e-02  3.166805e+01  1.526254e+00  3.080152e-01  1.548581e+02  4.484061e-02  1.976595e-01  6.766381e-05
   2159051  9.497818e+01  3.251342e-02  3.135136e+01  1.510990e+00  3.080238e-01  1.548624e+02  4.492314e-02  1.990209e-01  6.812987e-05
   2172811  9.582466e+01  3.280319e-02  3.103782e+01  1.495879e+00  3.080323e-01  1.548667e+02  4.500587e-02  2.003920e-01  6.859921e-05
   2186568  9.667711e+01  3.309501e-02  3.072744e+01  1.480920e+00  3.080410e-01  1.548710e+02  4.508879e-02  2.017726e-01  6.907184e-05
   2200323  9.753570e+01  3.338893e-02  3.042015e+01  1.466110e+00  3.080496e-01  1.548754e+02  4.517193e-02  2.031630e-01  6.954783e-05
   2214075  9.840045e+01  3.368495e-02  3.011594e+01  1.451449e+00  3.080584e-01  1.548798e+02  4.525526e-02  2.045633e-01  7.002716e-05
   2227825  9.927155e+01  3.398315e-02  2.981476e+01  1.436934e+00  3.080671e-01  1.548842e+02  4.533882e-02  2.059735e-01  7.050990e-05
   2241572  1.001490e+02  3.428353e-02  2.951660e+01  1.422564e+00  3.080760e-01  1.548886e+02  4.542258e-02  2.073936e-01  7.099606e-05
   2255316  1.010330e+02  3.458613e-02  2.922143e+01  1.408338e+00  3.080849e-01  1.548931e+02  4.550656e-02  2.088238e-01  7.148566e-05
   2269057  1.019235e+02  3.489098e-02  2.892920e+01  1.394254e+00  3.080938e-01  1.548976e+02  4.559077e-02  2.102642e-01  7.197874e-05
   2282795  1.028207e+02  3.519813e-02  2.863990e+01  1.380311e+00  3.081028e-01  1.549021e+02  4.567519e-02  2.117149e-01  7.247533e-05
   2296530  1.037248e+02  3.550760e-02  2.835348e+01  1.366507e+00  3.081119e-01  1.549067e+02  4.575984e-02  2.131759e-01  7.297547e-05
   2310261  1.046356e+02  3.581941e-02  2.806995e+01  1.352842e+00  3.081210e-01  1.549113e+02  4.584472e-02  2.146472e-01  7.347915e-05
   2323989  1.055535e+02  3.613363e-02  2.778924e+01  1.339313e+00  3.081302e-01  1.549159e+02  4.592983e-02  2.161291e-01  7.398643e-05
   2337714  1.064786e+02  3.645029e-02  2.751133e+01  1.325919e+00  3.081394e-01  1.549205e+02  4.601518e-02  2.176216e-01  7.449737e-05
   2351435  1.074108e+02  3.676942e-02  2.723620e+01  1.312659e+00  3.081487e-01  1.549252e+02  4.610076e-02  2.191248e-01  7.501195e-05
   2365152  1.083503e+02  3.709104e-02  2.696383e+01  1.299532e+00  3.081581e-01  1.549299e+02  4.618658e-02  2.206387e-01  7.553020e-05
   2378865  1.092973e+02  3.741520e-02  2.669419e+01  1.286536e+00  3.081675e-01  1.549346e+02  4.627265e-02  2.221635e-01  7.605217e-05
